stop_name,stop_lat,stop_lon,stop_desc
VSIP2 Thống Nhất - Đường số 4,11.082654,106.682838,Lượt đi
VSIP2 Thống Nhất - Đường số 4,11.08261,106.682701,Lượt về
Chợ Phú Chánh,11.0755935,106.6924848,null
Đường số 3 - Trần Quốc Toản,11.0747545,106.6910338,null
Đường số 3 - số 38,11.0706664,106.6919751,null
Trường Nguyễn Khuyến,11.0617739,106.6925683,null
Công viên trung tâm Thành phố Mới BD,11.0488837,106.6763305,null
Becamex UDJ Lake View,11.0494553,106.6727532,null
Cafe Lucky,10.963918,106.679643,Lượt đi
Cafe Lucky,10.963968,106.679622,Lượt về
Đường số 3 - số 8,11.063523,106.693633,null
Công ty VNTT,11.06428,106.675105,null
TDC Plaza,11.059496,106.675456,null
Cổng Bắc Đại học Quốc tế Miền Đông,11.055015,106.6658373,null
Trung tâm thể thao Thành phố Mới BD,11.048716,106.681057,null
Công ty Becamex Tokyu,11.046023,106.679306,null
Sảnh sau Trung Tâm Hành Chính (Lưu ý),11.056607,106.681894,null
Ban QL Phát Triển Khu Liên Hợp BD,11.047586,106.6878,Lượt đi
Ban QL Phát Triển Khu Liên Hợp BD,"11.047720, ",106.687597,Lượt về
Ngã ba Huỳnh Văn Lũy - Trần Ngọc Lên,11.025353,106.679194,Lượt đi
Ngã ba Huỳnh Văn Lũy - Trần Ngọc Lên,11.025381,106.679083,Lượt về
Ngã ba Phú Mỹ,11.01414,106.676533,Lượt đi
Ngã ba Phú Mỹ,11.014172,106.676379,Lượt về
Ngã ba Huỳnh Văn Lũy - Lê Hồng Phong,10.990376,106.673318,Lượt về
Ngã ba Huỳnh Văn Lũy - Lê Hồng Phong,10.990205,106.67349,Lượt đi
Trường Đại Học Mở,10.987938,106.67342,Lượt về
Trường Đại Học Mở,10.988063,106.673276,Lượt đi
Ngã ba Phú Lợi - Huỳnh Văn Nghệ,10.983419,106.677334,Lượt đi
Ngã ba Phú Lợi - Huỳnh Văn Nghệ,10.983215,106.677445,Lượt về
