 route_id ,                 stop_name                  , arrival_time , monday , tuesday , wednesday , thursday , friday , saturday , sunday ,    date    , service_id 
39, VSIP2 Thống Nhất - Đường số 6              , 16:46:00     ,1,1,1,1,1,0,0, 2018-09-02 ,3
39, VSIP2 Thống Nhất - Đường số 6              , 16:46:00     ,1,1,1,1,1,0,0, 2018-05-01 ,3
39, VSIP2 Thống Nhất - Đường số 6              , 16:46:00     ,1,1,1,1,1,0,0, 2018-04-30 ,3
39, VSIP2 Thống Nhất - Đường số 6              , 16:46:00     ,1,1,1,1,1,0,0, 2018-04-25 ,3
39, VSIP2 Thống Nhất - Đường số 6              , 16:46:00     ,1,1,1,1,1,0,0, 2019-02-20 ,3
39, VSIP2 Thống Nhất - Đường số 6              , 17:16:00     ,1,1,1,1,1,1,1,            ,1
39, VSIP2 Thống Nhất - Đường số 6              , 18:16:00     ,1,1,1,1,1,0,0, 2018-05-01 ,3
39, VSIP2 Thống Nhất - Đường số 6              , 18:16:00     ,1,1,1,1,1,0,0, 2018-02-15 ,3
39, VSIP2 Thống Nhất - Đường số 6              , 18:16:00     ,1,1,1,1,1,0,0, 2018-04-30 ,3
39, VSIP2 Thống Nhất - Đường số 6              , 18:16:00     ,1,1,1,1,1,0,0, 2018-02-14 ,3
39, VSIP2 Thống Nhất - Đường số 6              , 18:16:00     ,1,1,1,1,1,0,0, 2018-04-25 ,3
39, VSIP2 Thống Nhất - Đường số 6              , 18:16:00     ,1,1,1,1,1,0,0, 2018-01-01 ,3
39, VSIP2 Thống Nhất - Đường số 6              , 18:16:00     ,1,1,1,1,1,0,0, 2018-02-16 ,3
39, VSIP2 Thống Nhất - Đường số 6              , 18:16:00     ,1,1,1,1,1,0,0, 2018-02-17 ,3
39, VSIP2 Thống Nhất - Đường số 6              , 18:16:00     ,1,1,1,1,1,0,0, 2018-02-18 ,3
39, VSIP2 Thống Nhất - Đường số 6              , 18:16:00     ,1,1,1,1,1,0,0, 2019-02-20 ,3
39, VSIP2 Thống Nhất - Đường số 6              , 18:16:00     ,1,1,1,1,1,0,0, 2018-09-02 ,3
39, VSIP2 Thống Nhất - Đường số 6              , 18:16:00     ,1,1,1,1,1,0,0, 2018-02-19 ,3
39, VSIP2 Thống Nhất - Đường số 6              , 19:01:00     ,1,1,1,1,1,1,0, 2018-02-17 ,2
39, VSIP2 Thống Nhất - Đường số 6              , 19:01:00     ,1,1,1,1,1,1,0, 2018-02-15 ,2
39, VSIP2 Thống Nhất - Đường số 6              , 19:01:00     ,1,1,1,1,1,1,0, 2018-09-02 ,2
39, VSIP2 Thống Nhất - Đường số 6              , 19:01:00     ,1,1,1,1,1,1,0, 2018-02-16 ,2
39, VSIP2 Thống Nhất - Đường số 6              , 19:01:00     ,1,1,1,1,1,1,0, 2018-02-19 ,2
39, VSIP2 Thống Nhất - Đường số 6              , 19:01:00     ,1,1,1,1,1,1,0, 2018-02-18 ,2
39, VSIP2 Thống Nhất - Đường số 6              , 19:01:00     ,1,1,1,1,1,1,0, 2019-02-20 ,2
39, VSIP2 Thống Nhất - Đường số 6              , 19:01:00     ,1,1,1,1,1,1,0, 2018-02-14 ,2
39, VSIP2 Thống Nhất - Đường số 6              , 19:01:00     ,1,1,1,1,1,1,0, 2018-01-01 ,2
39, VSIP2 Thống Nhất - Đường số 6              , 19:01:00     ,1,1,1,1,1,1,0, 2018-04-25 ,2
39, VSIP2 Thống Nhất - Đường số 6              , 19:01:00     ,1,1,1,1,1,1,0, 2018-04-30 ,2
39, VSIP2 Thống Nhất - Đường số 6              , 19:01:00     ,1,1,1,1,1,1,0, 2018-05-01 ,2
39, VSIP2 Thống Nhất - Dân Chủ                 , 07:17:00     ,1,1,1,1,1,1,1,            ,1
39, VSIP2 Thống Nhất - Dân Chủ                 , 07:32:00     ,1,1,1,1,1,0,0, 2018-02-16 ,3
39, VSIP2 Thống Nhất - Dân Chủ                 , 07:32:00     ,1,1,1,1,1,0,0, 2018-05-01 ,3
39, VSIP2 Thống Nhất - Dân Chủ                 , 07:32:00     ,1,1,1,1,1,0,0, 2018-04-30 ,3
39, VSIP2 Thống Nhất - Dân Chủ                 , 07:32:00     ,1,1,1,1,1,0,0, 2018-04-25 ,3
39, VSIP2 Thống Nhất - Dân Chủ                 , 07:32:00     ,1,1,1,1,1,0,0, 2019-02-20 ,3
39, VSIP2 Thống Nhất - Dân Chủ                 , 07:32:00     ,1,1,1,1,1,0,0, 2018-02-19 ,3
39, VSIP2 Thống Nhất - Dân Chủ                 , 07:32:00     ,1,1,1,1,1,0,0, 2018-01-01 ,3
39, VSIP2 Thống Nhất - Dân Chủ                 , 07:32:00     ,1,1,1,1,1,0,0, 2018-02-14 ,3
39, VSIP2 Thống Nhất - Dân Chủ                 , 07:32:00     ,1,1,1,1,1,0,0, 2018-02-15 ,3
39, VSIP2 Thống Nhất - Dân Chủ                 , 07:32:00     ,1,1,1,1,1,0,0, 2018-02-18 ,3
39, VSIP2 Thống Nhất - Dân Chủ                 , 07:32:00     ,1,1,1,1,1,0,0, 2018-02-17 ,3
39, VSIP2 Thống Nhất - Dân Chủ                 , 07:32:00     ,1,1,1,1,1,0,0, 2018-09-02 ,3
39, VSIP2 Thống Nhất - Dân Chủ                 , 08:17:00     ,1,1,1,1,1,1,1,            ,1
39, VSIP2 Thống Nhất - Dân Chủ                 , 09:17:00     ,1,1,1,1,1,1,1,            ,1
39, VSIP2 Thống Nhất - Dân Chủ                 , 10:17:00     ,1,1,1,1,1,1,1,            ,1
39, VSIP2 Thống Nhất - Dân Chủ                 , 10:52:00     ,1,1,1,1,1,1,1,            ,1
39, VSIP2 Thống Nhất - Dân Chủ                 , 11:17:00     ,1,1,1,1,1,1,1,            ,1
39, VSIP2 Thống Nhất - Dân Chủ                 , 12:17:00     ,1,1,1,1,1,1,1,            ,1
39, VSIP2 Thống Nhất - Dân Chủ                 , 13:17:00     ,1,1,1,1,1,1,1,            ,1
39, VSIP2 Thống Nhất - Dân Chủ                 , 14:17:00     ,1,1,1,1,1,1,1,            ,1
39, VSIP2 Thống Nhất - Dân Chủ                 , 15:17:00     ,1,1,1,1,1,1,1,            ,1
39, VSIP2 Thống Nhất - Dân Chủ                 , 16:17:00     ,1,1,1,1,1,1,1,            ,1
39, VSIP2 Thống Nhất - Dân Chủ                 , 16:32:00     ,1,1,1,1,1,0,0, 2018-04-30 ,3
39, VSIP2 Thống Nhất - Dân Chủ                 , 16:32:00     ,1,1,1,1,1,0,0, 2018-09-02 ,3
39, VSIP2 Thống Nhất - Dân Chủ                 , 16:32:00     ,1,1,1,1,1,0,0, 2018-05-01 ,3
39, VSIP2 Thống Nhất - Dân Chủ                 , 16:32:00     ,1,1,1,1,1,0,0, 2018-04-25 ,3
39, VSIP2 Thống Nhất - Dân Chủ                 , 16:32:00     ,1,1,1,1,1,0,0, 2019-02-20 ,3
39, VSIP2 Thống Nhất - Dân Chủ                 , 16:32:00     ,1,1,1,1,1,0,0, 2018-02-19 ,3
39, VSIP2 Thống Nhất - Dân Chủ                 , 16:32:00     ,1,1,1,1,1,0,0, 2018-02-18 ,3
39, VSIP2 Thống Nhất - Dân Chủ                 , 16:32:00     ,1,1,1,1,1,0,0, 2018-02-17 ,3
39, VSIP2 Thống Nhất - Dân Chủ                 , 16:32:00     ,1,1,1,1,1,0,0, 2018-02-16 ,3
39, VSIP2 Thống Nhất - Dân Chủ                 , 16:32:00     ,1,1,1,1,1,0,0, 2018-02-15 ,3
39, VSIP2 Thống Nhất - Dân Chủ                 , 16:32:00     ,1,1,1,1,1,0,0, 2018-02-14 ,3
39, VSIP2 Thống Nhất - Dân Chủ                 , 16:32:00     ,1,1,1,1,1,0,0, 2018-01-01 ,3
39, VSIP2 Thống Nhất - Dân Chủ                 , 16:47:00     ,1,1,1,1,1,0,0, 2018-02-17 ,3
39, VSIP2 Thống Nhất - Dân Chủ                 , 16:47:00     ,1,1,1,1,1,0,0, 2018-02-19 ,3
39, VSIP2 Thống Nhất - Dân Chủ                 , 16:47:00     ,1,1,1,1,1,0,0, 2018-02-15 ,3
39, VSIP2 Thống Nhất - Dân Chủ                 , 16:47:00     ,1,1,1,1,1,0,0, 2018-02-18 ,3
39, VSIP2 Thống Nhất - Dân Chủ                 , 16:47:00     ,1,1,1,1,1,0,0, 2018-02-14 ,3
39, VSIP2 Thống Nhất - Dân Chủ                 , 16:47:00     ,1,1,1,1,1,0,0, 2018-01-01 ,3
39, VSIP2 Thống Nhất - Dân Chủ                 , 16:47:00     ,1,1,1,1,1,0,0, 2019-02-20 ,3
39, VSIP2 Thống Nhất - Dân Chủ                 , 16:47:00     ,1,1,1,1,1,0,0, 2018-02-16 ,3
39, VSIP2 Thống Nhất - Dân Chủ                 , 16:47:00     ,1,1,1,1,1,0,0, 2018-09-02 ,3
39, VSIP2 Thống Nhất - Dân Chủ                 , 16:47:00     ,1,1,1,1,1,0,0, 2018-05-01 ,3
39, VSIP2 Thống Nhất - Dân Chủ                 , 16:47:00     ,1,1,1,1,1,0,0, 2018-04-30 ,3
39, VSIP2 Thống Nhất - Dân Chủ                 , 16:47:00     ,1,1,1,1,1,0,0, 2018-04-25 ,3
39, VSIP2 Thống Nhất - Dân Chủ                 , 17:17:00     ,1,1,1,1,1,1,1,            ,1
39, VSIP2 Thống Nhất - Dân Chủ                 , 18:17:00     ,1,1,1,1,1,0,0, 2018-09-02 ,3
39, VSIP2 Thống Nhất - Dân Chủ                 , 18:17:00     ,1,1,1,1,1,0,0, 2018-01-01 ,3
39, VSIP2 Thống Nhất - Dân Chủ                 , 18:17:00     ,1,1,1,1,1,0,0, 2018-02-14 ,3
39, VSIP2 Thống Nhất - Dân Chủ                 , 18:17:00     ,1,1,1,1,1,0,0, 2018-02-15 ,3
39, VSIP2 Thống Nhất - Dân Chủ                 , 18:17:00     ,1,1,1,1,1,0,0, 2018-02-16 ,3
39, VSIP2 Thống Nhất - Dân Chủ                 , 18:17:00     ,1,1,1,1,1,0,0, 2018-02-17 ,3
39, VSIP2 Thống Nhất - Dân Chủ                 , 18:17:00     ,1,1,1,1,1,0,0, 2018-02-18 ,3
39, VSIP2 Thống Nhất - Dân Chủ                 , 18:17:00     ,1,1,1,1,1,0,0, 2018-02-19 ,3
39, VSIP2 Thống Nhất - Dân Chủ                 , 18:17:00     ,1,1,1,1,1,0,0, 2019-02-20 ,3
39, VSIP2 Thống Nhất - Dân Chủ                 , 18:17:00     ,1,1,1,1,1,0,0, 2018-04-25 ,3
39, VSIP2 Thống Nhất - Dân Chủ                 , 18:17:00     ,1,1,1,1,1,0,0, 2018-04-30 ,3
39, VSIP2 Thống Nhất - Dân Chủ                 , 18:17:00     ,1,1,1,1,1,0,0, 2018-05-01 ,3
39, VSIP2 Thống Nhất - Dân Chủ                 , 19:02:00     ,1,1,1,1,1,1,0, 2018-09-02 ,2
39, VSIP2 Thống Nhất - Dân Chủ                 , 19:02:00     ,1,1,1,1,1,1,0, 2018-02-19 ,2
